customer_id,total_orders,total_units,total_revenue,total_profit,first_order_date,last_order_date,aov,profit_margin,customer_type,recency,R_score,F_score,M_score,RFM_score,segment,activity_status
10001,6,15.0,55291.71000000001,24250.93,2024-04-15,2025-05-31,9215.29,43.86,Repeat,215,2,5,3,253,At Risk,Inactive
10002,1,2.0,3734.42,1396.48,2024-02-13,2024-02-13,3734.42,37.39,One-time,688,1,1,1,111,Lost Customers,Inactive
10003,4,17.0,107693.45,54634.17,2024-04-15,2025-05-16,26923.36,50.73,Repeat,230,2,3,5,235,At Risk,Inactive
10004,1,5.0,6847.34,3485.18,2025-03-12,2025-03-12,6847.34,50.9,One-time,295,2,1,1,211,Lost Customers,Inactive
10005,4,14.0,29473.65,12287.28,2024-04-20,2025-08-10,7368.41,41.69,Repeat,144,3,3,2,332,Potential Loyalists,At Risk
10006,6,17.0,148843.37,73005.05,2024-03-22,2025-10-13,24807.23,49.05,Repeat,80,4,5,5,455,Champions,Active
10007,3,6.0,59399.22,21770.23,2024-09-24,2025-03-13,19799.74,36.65,Repeat,294,2,2,4,224,Lost Customers,Inactive
10009,3,6.0,129809.06,42021.74,2024-12-04,2025-06-14,43269.69,32.37,Repeat,201,2,2,5,225,Lost Customers,Inactive
10010,2,7.0,16433.66,6346.88,2024-11-12,2025-10-14,8216.83,38.62,Repeat,79,4,1,2,412,New Customers,Active
10011,3,11.0,111918.29,56148.6,2024-09-16,2025-10-09,37306.1,50.17,Repeat,84,4,2,5,425,New Customers,Active
10012,4,15.0,91664.56999999999,41500.76,2025-01-02,2025-10-16,22916.14,45.27,Repeat,77,4,3,4,434,Loyal Customers,Active
10013,2,4.0,3109.2799999999997,1402.96,2025-07-19,2025-11-17,1554.64,45.12,Repeat,45,5,1,1,511,New Customers,Active
10014,4,10.0,143650.88,78697.77,2024-03-05,2025-09-15,35912.72,54.78,Repeat,108,4,3,5,435,Loyal Customers,At Risk
10015,1,5.0,21121.489999999998,6927.09,2025-04-04,2025-04-04,21121.49,32.8,One-time,272,2,1,2,212,Lost Customers,Inactive
10016,4,11.0,62655.97,25489.52,2024-01-23,2025-05-08,15663.99,40.68,Repeat,238,2,3,4,234,At Risk,Inactive
