campaign_id,campaign_name,channel,month,spend,impressions,clicks,conversions
CAMP001,Summer Sale,Paid Search,2024-01-01,59841.17,1079314,46136,4781
CAMP001,Summer Sale,Paid Search,2024-02-01,167815.9,4300818,191520,16157
CAMP001,Summer Sale,Paid Search,2024-03-01,64797.34,1276814,20436,1695
CAMP001,Summer Sale,Paid Search,2024-04-01,80992.7,1620929,71348,6636
CAMP001,Summer Sale,Paid Search,2024-05-01,113285.33,2490146,63558,5124
CAMP001,Summer Sale,Paid Search,2024-06-01,44391.7,557567,18000,1312
CAMP001,Summer Sale,Paid Search,2024-07-01,52431.35,1292849,41379,2916
CAMP001,Summer Sale,Paid Search,2024-08-01,146973.07,2180054,65302,1771
CAMP001,Summer Sale,Paid Search,2024-09-01,164472.37,4156805,149408,17132
CAMP001,Summer Sale,Paid Search,2024-10-01,168664.46,4011403,151956,6446
CAMP001,Summer Sale,Paid Search,2024-11-01,141743.54,3522493,127434,3758
CAMP001,Summer Sale,Paid Search,2024-12-01,142041.34,3451824,76548,8838
CAMP001,Summer Sale,Paid Search,2025-01-01,125514.63,3208986,118689,4347
CAMP001,Summer Sale,Paid Search,2025-02-01,111130.84,2182354,67923,5464
CAMP001,Summer Sale,Paid Search,2025-03-01,123601.0,3424573,100652,8190
CAMP001,Summer Sale,Paid Search,2025-04-01,54032.96,886415,39866,1164
CAMP001,Summer Sale,Paid Search,2025-05-01,76459.17,1833858,38880,1286
CAMP001,Summer Sale,Paid Search,2025-06-01,125625.22,2181435,89179,7255
CAMP001,Summer Sale,Paid Search,2025-07-01,79236.2,1107462,41486,4652
CAMP001,Summer Sale,Paid Search,2025-08-01,82145.18,1949264,83421,7666
CAMP001,Summer Sale,Paid Search,2025-09-01,92603.91,1951226,71489,2732
CAMP001,Summer Sale,Paid Search,2025-10-01,144503.06,2707415,90528,9945
CAMP001,Summer Sale,Paid Search,2025-11-01,151690.79,2563852,52753,3464
CAMP001,Summer Sale,Paid Search,2025-12-01,125497.67,1683528,75277,8511
CAMP002,Festival Offers,Social,2024-01-01,45346.5,577494,22790,688
CAMP002,Festival Offers,Social,2024-02-01,36628.25,822631,15811,1378
CAMP002,Festival Offers,Social,2024-03-01,106497.73,2069047,44548,1383
CAMP002,Festival Offers,Social,2024-04-01,159107.56,3820005,110673,10628
CAMP002,Festival Offers,Social,2024-05-01,123006.64,2197163,82667,7112
CAMP002,Festival Offers,Social,2024-06-01,26775.39,350910,12839,1376
CAMP002,Festival Offers,Social,2024-07-01,129636.94,3675454,143662,12313
CAMP002,Festival Offers,Social,2024-08-01,41474.74,589239,11081,616
CAMP002,Festival Offers,Social,2024-09-01,118859.23,2402016,96813,8194
CAMP002,Festival Offers,Social,2024-10-01,140076.95,2185714,57553,6757
