order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,net_amount,cost_amount
900001,500001,20014,1.0,557.2,204.62,10,557.2,55.72,501.48,204.62
900002,500001,20004,1.0,10687.99,6945.78,15,10687.99,1603.2,9084.79,6945.78
900003,500001,20055,1.0,1146.02,721.9,10,1146.02,114.6,1031.42,721.9
900004,500001,20014,4.0,557.2,204.62,0,2228.8,0.0,2228.8,818.48
900005,500002,20029,1.0,4040.78,2378.0,10,4040.78,404.08,3636.7,2378.0
900006,500003,20213,1.0,24406.41,13831.92,15,24406.41,3660.96,20745.45,13831.92
900007,500003,20181,1.0,1516.64,752.06,15,1516.64,227.5,1289.14,752.06
900008,500003,20169,1.0,429.83,219.43,0,429.83,0.0,429.83,219.43
900009,500004,20111,1.0,1113.65,713.31,10,1113.65,111.36,1002.29,713.31
900010,500004,20110,1.0,27669.14,13251.38,5,27669.14,1383.46,26285.68,13251.38
900011,500005,20086,1.0,1750.18,990.74,15,1750.18,262.53,1487.65,990.74
900012,500006,20056,2.0,2108.57,823.77,20,4217.14,843.43,3373.71,1647.54
900013,500007,20121,1.0,797.87,498.73,5,797.87,39.89,757.98,498.73
900014,500008,20138,3.0,3333.11,1217.57,15,9999.33,1499.9,8499.43,3652.71
900015,500009,20091,1.0,2708.48,1134.09,20,2708.48,541.7,2166.78,1134.09
900016,500010,20175,1.0,512.76,312.64,10,512.76,51.28,461.48,312.64
900017,500011,20226,1.0,2006.11,1202.04,15,2006.11,300.92,1705.19,1202.04
900018,500012,20039,1.0,570.9,319.77,10,570.9,57.09,513.81,319.77
900019,500013,20113,2.0,1643.54,897.05,10,3287.08,328.71,2958.37,1794.1
900020,500013,20209,4.0,7771.74,4696.59,20,31086.96,6217.39,24869.57,18786.36
900021,500014,20226,1.0,2006.11,1202.04,15,2006.11,300.92,1705.19,1202.04
900022,500014,20019,1.0,1058.34,495.5,0,1058.34,0.0,1058.34,495.5
900023,500015,20147,1.0,466.14,257.27,15,466.14,69.92,396.22,257.27
900024,500016,20204,1.0,1164.22,744.86,10,1164.22,116.42,1047.8,744.86
900025,500017,20212,1.0,1054.5,525.69,5,1054.5,52.72,1001.78,525.69
900026,500017,20160,1.0,3652.46,2207.0,15,3652.46,547.87,3104.59,2207.0
900027,500018,20088,1.0,1969.68,1132.48,5,1969.68,98.48,1871.2,1132.48
900028,500018,20058,2.0,825.82,425.37,0,1651.64,0.0,1651.64,850.74
900029,500018,20001,1.0,2034.59,1256.83,15,2034.59,305.19,1729.4,1256.83
900030,500019,20095,1.0,34386.07,12126.54,0,34386.07,0.0,34386.07,12126.54
900031,500019,20011,1.0,5804.22,2185.11,5,5804.22,290.21,5514.01,2185.11
900032,500020,20152,1.0,1133.67,691.09,0,1133.67,0.0,1133.67,691.09
900033,500020,20011,1.0,5804.22,2185.11,10,5804.22,580.42,5223.8,2185.11
900034,500021,20064,1.0,4631.2,2304.97,10,4631.2,463.12,4168.08,2304.97
900035,500022,20127,1.0,483.68,170.85,15,483.68,72.55,411.13,170.85
900036,500022,20084,1.0,1515.77,816.64,5,1515.77,75.79,1439.98,816.64
900037,500023,20072,1.0,2282.11,915.86,15,2282.11,342.32,1939.79,915.86
900038,500023,20189,2.0,497.27,254.23,0,994.54,0.0,994.54,508.46
900039,500024,20113,2.0,1643.54,897.05,5,3287.08,164.35,3122.73,1794.1
900040,500025,20013,1.0,2355.66,1097.0,25,2355.66,588.92,1766.74,1097.0
900041,500025,20031,3.0,4512.81,1851.07,5,13538.43,676.92,12861.51,5553.21
900042,500025,20172,1.0,534.01,205.89,10,534.01,53.4,480.61,205.89
900043,500025,20077,1.0,2967.86,1248.94,20,2967.86,593.57,2374.29,1248.94
900044,500026,20088,1.0,1969.68,1132.48,20,1969.68,393.94,1575.74,1132.48
900045,500027,20156,1.0,1052.52,389.44,10,1052.52,105.25,947.27,389.44
900046,500028,20063,1.0,48801.99,20977.47,10,48801.99,4880.2,43921.79,20977.47
900047,500028,20008,1.0,7931.3,3163.37,0,7931.3,0.0,7931.3,3163.37
