order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,net_amount,cost_amount,customer_id,order_date,sales_channel,order_status,product_name,category,subcategory,revenue,profit,profit_margin,revenue_difference
900001,500001,20014,1.0,557.2,204.62,10,557.2,55.72,501.48,204.62,14258,2025-05-19,Direct,Delivered,Moisturizer 20014,Beauty,Moisturizer,501.48,296.86,59.2,0.0
900002,500001,20004,1.0,10687.99,6945.78,15,10687.99,1603.2,9084.79,6945.78,14258,2025-05-19,Direct,Delivered,Yoga Mat 20004,Sports,Yoga Mat,9084.79,2139.01,23.54,0.0
900003,500001,20055,1.0,1146.02,721.9,10,1146.02,114.6,1031.42,721.9,14258,2025-05-19,Direct,Delivered,Shampoo 20055,Beauty,Shampoo,1031.42,309.52,30.01,0.0
900004,500001,20014,4.0,557.2,204.62,0,2228.8,0.0,2228.8,818.48,14258,2025-05-19,Direct,Delivered,Moisturizer 20014,Beauty,Moisturizer,2228.8,1410.32,63.28,0.0
900005,500002,20029,1.0,4040.78,2378.0,10,4040.78,404.08,3636.7,2378.0,12695,2024-07-10,Paid Search,Delivered,Monitor 20029,Electronics,Monitor,3636.7,1258.7,34.61,0.0
900006,500003,20213,1.0,24406.41,13831.92,15,24406.41,3660.96,20745.45,13831.92,13130,2025-06-04,Organic,Delivered,Keyboard 20213,Electronics,Keyboard,20745.45,6913.53,33.33,0.0
900007,500003,20181,1.0,1516.64,752.06,15,1516.64,227.5,1289.14,752.06,13130,2025-06-04,Organic,Delivered,Bedsheet 20181,Home,Bedsheet,1289.14,537.08,41.66,0.0
900008,500003,20169,1.0,429.83,219.43,0,429.83,0.0,429.83,219.43,13130,2025-06-04,Organic,Delivered,Chair 20169,Home,Chair,429.83,210.4,48.95,0.0
900009,500004,20111,1.0,1113.65,713.31,10,1113.65,111.36,1002.29,713.31,14069,2024-05-14,Organic,Delivered,Perfume 20111,Beauty,Perfume,1002.29,288.98,28.83,0.0
900010,500004,20110,1.0,27669.14,13251.38,5,27669.14,1383.46,26285.68,13251.38,14069,2024-05-14,Organic,Delivered,Mouse 20110,Electronics,Mouse,26285.68,13034.3,49.59,0.0
900011,500005,20086,1.0,1750.18,990.74,15,1750.18,262.53,1487.65,990.74,13637,2024-04-29,Affiliate,Delivered,Dress 20086,Fashion,Dress,1487.65,496.91,33.4,0.0
900012,500006,20056,2.0,2108.57,823.77,20,4217.14,843.43,3373.71,1647.54,12676,2025-02-01,Organic,Delivered,Running Shoes 20056,Sports,Running Shoes,3373.71,1726.17,51.17,0.0
900013,500007,20121,1.0,797.87,498.73,5,797.87,39.89,757.98,498.73,12832,2025-05-18,Paid Search,Delivered,Perfume 20121,Beauty,Perfume,757.98,259.25,34.2,0.0
900014,500008,20138,3.0,3333.11,1217.57,15,9999.33,1499.9,8499.43,3652.71,14972,2024-05-30,Direct,Delivered,Keyboard 20138,Electronics,Keyboard,8499.43,4846.72,57.02,0.0
900015,500009,20091,1.0,2708.48,1134.09,20,2708.48,541.7,2166.78,1134.09,13786,2025-09-30,Paid Search,Delivered,Dress 20091,Fashion,Dress,2166.78,1032.69,47.66,0.0
900016,500010,20175,1.0,512.76,312.64,10,512.76,51.28,461.48,312.64,11206,2025-09-27,Paid Search,Delivered,Football 20175,Sports,Football,461.48,148.84,32.25,0.0
900017,500011,20226,1.0,2006.11,1202.04,15,2006.11,300.92,1705.19,1202.04,12269,2024-02-29,Affiliate,Delivered,T-Shirt 20226,Fashion,T-Shirt,1705.19,503.15,29.51,0.0
900018,500012,20039,1.0,570.9,319.77,10,570.9,57.09,513.81,319.77,13711,2024-08-10,Paid Search,Delivered,Running Shoes 20039,Sports,Running Shoes,513.81,194.04,37.76,0.0
900019,500013,20113,2.0,1643.54,897.05,10,3287.08,328.71,2958.37,1794.1,12611,2025-02-10,Social,Delivered,Perfume 20113,Beauty,Perfume,2958.37,1164.27,39.36,0.0
900020,500013,20209,4.0,7771.74,4696.59,20,31086.96,6217.39,24869.57,18786.36,12611,2025-02-10,Social,Delivered,Badminton Racket 20209,Sports,Badminton Racket,24869.57,6083.21,24.46,0.0
900021,500014,20226,1.0,2006.11,1202.04,15,2006.11,300.92,1705.19,1202.04,12162,2024-12-24,Organic,Delivered,T-Shirt 20226,Fashion,T-Shirt,1705.19,503.15,29.51,0.0
900022,500014,20019,1.0,1058.34,495.5,0,1058.34,0.0,1058.34,495.5,12162,2024-12-24,Organic,Delivered,Shampoo 20019,Beauty,Shampoo,1058.34,562.84,53.18,0.0
900023,500015,20147,1.0,466.14,257.27,15,466.14,69.92,396.22,257.27,13042,2024-07-05,Social,Delivered,Perfume 20147,Beauty,Perfume,396.22,138.95,35.07,0.0
900024,500016,20204,1.0,1164.22,744.86,10,1164.22,116.42,1047.8,744.86,11880,2025-01-22,Organic,Delivered,Jacket 20204,Fashion,Jacket,1047.8,302.94,28.91,0.0
900025,500017,20212,1.0,1054.5,525.69,5,1054.5,52.72,1001.78,525.69,13391,2025-12-04,Affiliate,Delivered,Storage Box 20212,Home,Storage Box,1001.78,476.09,47.52,0.0
900026,500017,20160,1.0,3652.46,2207.0,15,3652.46,547.87,3104.59,2207.0,13391,2025-12-04,Affiliate,Delivered,Cushion 20160,Home,Cushion,3104.59,897.59,28.91,0.0
900027,500018,20088,1.0,1969.68,1132.48,5,1969.68,98.48,1871.2,1132.48,13658,2024-08-12,Paid Search,Delivered,T-Shirt 20088,Fashion,T-Shirt,1871.2,738.72,39.48,0.0
900028,500018,20058,2.0,825.82,425.37,0,1651.64,0.0,1651.64,850.74,13658,2024-08-12,Paid Search,Delivered,Lamp 20058,Home,Lamp,1651.64,800.9,48.49,0.0
900029,500018,20001,1.0,2034.59,1256.83,15,2034.59,305.19,1729.4,1256.83,13658,2024-08-12,Paid Search,Delivered,Football 20001,Sports,Football,1729.4,472.57,27.33,0.0
900030,500019,20095,1.0,34386.07,12126.54,0,34386.07,0.0,34386.07,12126.54,14491,2024-06-09,Paid Search,Delivered,Smartphone 20095,Electronics,Smartphone,34386.07,22259.53,64.73,0.0
900031,500019,20011,1.0,5804.22,2185.11,5,5804.22,290.21,5514.01,2185.11,14491,2024-06-09,Paid Search,Delivered,Football 20011,Sports,Football,5514.01,3328.9,60.37,0.0
900032,500020,20152,1.0,1133.67,691.09,0,1133.67,0.0,1133.67,691.09,14778,2025-06-23,Direct,Delivered,Bedsheet 20152,Home,Bedsheet,1133.67,442.58,39.04,0.0
900033,500020,20011,1.0,5804.22,2185.11,10,5804.22,580.42,5223.8,2185.11,14778,2025-06-23,Direct,Delivered,Football 20011,Sports,Football,5223.8,3038.69,58.17,0.0
900034,500021,20064,1.0,4631.2,2304.97,10,4631.2,463.12,4168.08,2304.97,13558,2025-02-21,Affiliate,Delivered,Serum 20064,Beauty,Serum,4168.08,1863.11,44.7,0.0
900035,500022,20127,1.0,483.68,170.85,15,483.68,72.55,411.13,170.85,13778,2025-05-20,Social,Delivered,Cushion 20127,Home,Cushion,411.13,240.28,58.44,0.0
900036,500022,20084,1.0,1515.77,816.64,5,1515.77,75.79,1439.98,816.64,13778,2025-05-20,Social,Delivered,Keyboard 20084,Electronics,Keyboard,1439.98,623.34,43.29,0.0
900037,500023,20072,1.0,2282.11,915.86,15,2282.11,342.32,1939.79,915.86,13862,2025-04-17,Direct,Delivered,Shampoo 20072,Beauty,Shampoo,1939.79,1023.93,52.79,0.0
900038,500023,20189,2.0,497.27,254.23,0,994.54,0.0,994.54,508.46,13862,2025-04-17,Direct,Delivered,Shampoo 20189,Beauty,Shampoo,994.54,486.08,48.87,0.0
900039,500024,20113,2.0,1643.54,897.05,5,3287.08,164.35,3122.73,1794.1,11651,2025-07-10,Organic,Delivered,Perfume 20113,Beauty,Perfume,3122.73,1328.63,42.55,0.0
