order_id,customer_id,order_date,sales_channel,order_status,shipping_city
500001,14258,2025-05-19,Direct,Delivered,Kolkata
500002,12695,2024-07-10,Paid Search,Delivered,Delhi
500003,13130,2025-06-04,Organic,Delivered,Chennai
500004,14069,2024-05-14,Organic,Delivered,Gurugram
500005,13637,2024-04-29,Affiliate,Delivered,Bhopal
500006,12676,2025-02-01,Organic,Delivered,Kochi
500007,12832,2025-05-18,Paid Search,Delivered,Ghaziabad
500008,14972,2024-05-30,Direct,Delivered,Kolkata
500009,13786,2025-09-30,Paid Search,Delivered,Kolkata
500010,11206,2025-09-27,Paid Search,Delivered,Patna
500011,12269,2024-02-29,Affiliate,Delivered,Kolkata
500012,13711,2024-08-10,Paid Search,Delivered,Bhopal
500013,12611,2025-02-10,Social,Delivered,Bhopal
500014,12162,2024-12-24,Organic,Delivered,Kolkata
500015,13042,2024-07-05,Social,Delivered,Jaipur
500016,11880,2025-01-22,Organic,Delivered,Hyderabad
500017,13391,2025-12-04,Affiliate,Delivered,Ghaziabad
500018,13658,2024-08-12,Paid Search,Delivered,Pune
500019,14491,2024-06-09,Paid Search,Delivered,Hyderabad
500020,14778,2025-06-23,Direct,Delivered,Patna
500021,13558,2025-02-21,Affiliate,Delivered,Noida
500022,13778,2025-05-20,Social,Delivered,Ahmedabad
500023,13862,2025-04-17,Direct,Delivered,Bengaluru
500024,11651,2025-07-10,Organic,Delivered,Jaipur
500025,14578,2025-06-17,Social,Delivered,Mumbai
500026,12550,2025-03-18,,Delivered,Bengaluru
500027,14338,2024-11-28,Social,Delivered,Mumbai
500028,11086,2024-12-02,Paid Search,Delivered,Chennai
500029,11552,2024-07-12,Affiliate,Delivered,Kochi
500030,13102,2024-11-24,Organic,Delivered,Patna
500031,12893,2025-03-18,Organic,Delivered,Lucknow
500032,12013,2025-06-07,Affiliate,Delivered,Patna
500033,11105,2025-07-19,Organic,Delivered,Jaipur
500034,11141,2024-10-02,Organic,Delivered,Pune
500035,13635,2025-06-19,Paid Search,Delivered,Gurugram
500036,10106,2024-11-15,Paid Search,Delivered,Gurugram
500037,10598,2024-09-18,Social,Delivered,Ahmedabad
500038,14627,2024-04-29,Affiliate,Delivered,Gurugram
500039,14896,2024-07-13,Social,Delivered,Noida
500040,10395,2025-05-11,Email,Delivered,Ahmedabad
500041,10712,2024-06-07,Organic,Delivered,Bhopal
500042,11647,2024-02-26,Paid Search,Delivered,Gurugram
500043,12930,2024-07-17,Direct,Delivered,Mumbai
500044,10953,2025-12-25,Paid Search,Delivered,Patna
500045,14912,2024-04-19,Organic,Delivered,Kochi
500046,12471,2024-04-15,Direct,Delivered,Chandigarh
500047,12686,2024-10-21,Paid Search,Delivered,Jaipur
500048,10975,2024-10-06,Social,Delivered,Lucknow
500049,11539,2025-11-03,Organic,Delivered,Bengaluru
500050,13682,2024-06-22,Email,Delivered,Ghaziabad
500051,13164,2024-11-01,Organic,Delivered,Ahmedabad
500052,11125,2024-07-31,Social,Delivered,Bhopal
500053,12208,2024-07-01,Affiliate,Delivered,Jaipur
500054,10928,2024-08-23,Email,Delivered,Chandigarh
500055,12038,2024-07-06,Organic,Delivered,Noida
500056,11085,2025-06-09,Organic,Delivered,Patna
500057,14899,2025-07-31,Direct,Delivered,Bhopal
500058,11488,2024-05-09,Direct,Delivered,Bhopal
500059,12370,2024-12-28,Organic,Delivered,Chennai
500060,13210,2024-07-11,Paid Search,Delivered,Mumbai
500061,10206,2025-09-26,Email,Delivered,Lucknow
500062,11049,2024-03-14,Direct,Delivered,Gurugram
500063,14945,2024-10-26,Direct,Delivered,Chandigarh
500064,13485,2024-08-30,Email,Delivered,Bengaluru
500065,11210,2024-09-22,Organic,Delivered,Bhopal
500066,12151,2025-11-19,Affiliate,Delivered,Bhopal
500067,14288,2025-01-30,Direct,Delivered,Patna
500068,10986,2024-10-04,Paid Search,Delivered,Mumbai
500069,11495,2025-08-13,Social,Delivered,Lucknow
500070,11201,2025-07-22,Organic,Delivered,Pune
500071,13325,2024-04-15,Paid Search,Delivered,Gurugram
500072,12637,2024-12-03,Direct,Delivered,Pune
500073,12504,2024-10-28,Organic,Delivered,Kochi
500074,11894,2024-11-24,Affiliate,Delivered,Patna
500075,11640,2024-09-12,Organic,Delivered,Patna
500076,12569,2025-08-25,Paid Search,Delivered,Kochi
500077,13996,2025-12-29,Social,Delivered,Lucknow
500078,14063,2024-01-20,Organic,Delivered,Lucknow
500079,13923,2025-09-18,Email,Delivered,Jaipur
500080,10230,2025-09-24,Paid Search,Delivered,Lucknow
500081,12451,2024-09-24,Affiliate,Delivered,Noida
500082,11969,2024-12-20,Direct,Delivered,Lucknow
500083,14677,2024-03-15,Paid Search,Delivered,Chennai
500084,12078,2024-09-13,Organic,Delivered,Ghaziabad
500085,11235,2024-06-23,Direct,Delivered,Kolkata
500086,11255,2025-10-24,Paid Search,Delivered,Mumbai
500087,10974,2024-03-19,Organic,Delivered,Kochi
500088,12210,2024-09-05,Direct,Delivered,Pune
500089,11321,2024-12-17,Paid Search,Delivered,Noida
500090,12834,2025-12-15,Social,Delivered,Ghaziabad
500091,11155,2025-08-20,Paid Search,Delivered,Hyderabad
500092,12925,2025-11-15,Email,Delivered,Chennai
500093,13079,2024-08-14,Email,Delivered,Jaipur
500094,13350,2024-07-14,Social,Delivered,Noida
500095,14413,2025-02-21,Social,Delivered,Kochi
500096,10384,2024-09-05,Organic,Delivered,Patna
500097,10265,2024-01-12,Organic,Delivered,Kochi
500098,12301,2025-08-16,Affiliate,Delivered,Chandigarh
500099,12581,2024-03-10,Direct,Delivered,Chandigarh
500100,13789,2024-05-22,Affiliate,Delivered,Lucknow
500101,11135,2025-11-20,Email,Delivered,Kolkata
500102,12276,2025-06-19,Social,Delivered,Pune
500103,13057,2025-04-14,Social,Delivered,Gurugram
500104,13283,2024-04-04,Email,Delivered,Ahmedabad
500105,12716,2024-07-02,Organic,Delivered,Kochi
500106,12953,2024-05-30,Paid Search,Delivered,Mumbai
500107,10821,2025-04-13,Organic,Delivered,Lucknow
500108,12324,2024-12-31,Paid Search,Delivered,Bengaluru
500109,12708,2024-09-20,Affiliate,Delivered,Ahmedabad
500110,10395,2025-06-29,Paid Search,Delivered,Kochi
500111,14844,2025-07-22,Affiliate,Delivered,Chennai
500112,13167,2025-06-24,Direct,Delivered,Patna
500113,13589,2024-03-18,Direct,Delivered,Patna
500114,12673,2025-03-21,Affiliate,Delivered,Ghaziabad
500115,14654,2024-06-02,Direct,Delivered,Patna
500116,10029,2024-07-17,Paid Search,Delivered,Ghaziabad
500117,14791,2025-12-16,Affiliate,Delivered,Bhopal
500118,11035,2024-10-30,Email,Delivered,Pune
500119,14423,2025-07-29,Direct,Delivered,Pune
500120,10307,2024-06-28,Social,Delivered,Ahmedabad
500121,11565,2025-12-11,Paid Search,Delivered,Patna
500122,12852,2024-07-21,Direct,Delivered,Hyderabad
500123,13289,2024-05-13,Affiliate,Delivered,Kochi
500124,10076,2024-08-24,Organic,Delivered,Kochi
500125,11795,2024-05-06,Social,Delivered,Lucknow
500126,14213,2025-03-13,Social,Delivered,Indore
500127,10916,2024-04-15,Email,Delivered,Mumbai
500128,14738,2024-05-31,Direct,Delivered,Pune
500129,13552,2025-05-28,Social,Delivered,Kolkata
500130,14878,2024-02-01,Direct,Delivered,Kolkata
500131,14517,2024-11-17,Paid Search,Delivered,Bengaluru
