order_id,payment_id,payment_method,payment_amount,payment_status
500001,700001,Debit Card,12846.49,Paid
500002,700002,Net Banking,3636.7,Paid
500003,700003,Debit Card,22464.42,Paid
500004,700004,UPI,27287.97,Paid
500005,700005,Credit Card,1487.65,Paid
500006,700006,COD,3373.71,Paid
500007,700007,UPI,757.98,Paid
500008,700008,UPI,8499.43,Paid
500009,700009,UPI,2166.78,Paid
500010,700010,UPI,461.48,Paid
500011,700011,Credit Card,1705.19,Paid
500012,700012,UPI,513.81,Paid
500013,700013,COD,27827.94,Paid
500014,700014,Debit Card,2763.53,Paid
500015,700015,Debit Card,396.22,Paid
500016,700016,UPI,1047.8,Paid
500017,700017,COD,4106.37,Paid
500018,700018,UPI,5252.24,Pending
500019,700019,UPI,39900.08,Paid
500020,700020,UPI,6357.47,Paid
500021,700021,UPI,4168.08,Paid
500022,700022,Debit Card,1851.11,Paid
500023,700023,Net Banking,2934.33,Paid
500024,700024,UPI,3122.73,Paid
500025,700025,COD,17483.15,Paid
500026,700026,Credit Card,1575.74,Paid
500027,700027,Net Banking,947.27,Paid
500028,700028,UPI,67216.58,Paid
500029,700029,Net Banking,58263.77,Paid
500030,700030,UPI,386.94,Paid
500031,700031,UPI,24112.4,Pending
500032,700032,UPI,16784.62,Paid
500033,700033,COD,36516.01,Paid
500034,700034,Credit Card,30806.59,Paid
500035,700035,Credit Card,24065.93,Paid
500036,700036,Credit Card,12443.67,Paid
500037,700037,Credit Card,2173.95,Paid
500038,700038,COD,8657.59,Paid
500039,700039,Credit Card,34839.64,Paid
500040,700040,UPI,23793.67,Paid
500041,700041,Net Banking,7748.1,Paid
500042,700042,COD,12747.04,Paid
500043,700043,UPI,6940.61,Paid
500044,700044,Debit Card,3078.19,Paid
500045,700045,UPI,1185.37,Paid
500046,700046,Wallet,18837.36,Paid
500047,700047,UPI,23989.48,Paid
500048,700048,Debit Card,29754.08,Paid
500049,700049,Credit Card,7531.42,Paid
500050,700050,Credit Card,957.83,Paid
500051,700051,COD,15024.28,Paid
500052,700052,UPI,8487.81,Paid
500053,700053,UPI,265.01,Paid
