product_id,product_name,category,subcategory,unit_price,unit_cost
20001,Football 20001,Sports,Football,2034.59,1256.83
20002,Storage Box 20002,Home,Storage Box,10282.55,6040.96
20003,Perfume 20003,Beauty,Perfume,2966.78,1197.73
20004,Yoga Mat 20004,Sports,Yoga Mat,10687.99,6945.78
20005,Smartphone 20005,Electronics,Smartphone,1971.82,775.58
20006,Monitor 20006,Electronics,Monitor,66361.9,40574.05
20007,Running Shoes 20007,Sports,Running Shoes,12616.36,6321.06
20008,Storage Box 20008,Home,Storage Box,7931.3,3163.37
20009,Moisturizer 20009,Beauty,Moisturizer,1160.15,521.78
20010,Jeans 20010,Fashion,Jeans,,861.46
20011,Football 20011,Sports,Football,5804.22,2185.11
20012,Face Wash 20012,Beauty,Face Wash,3166.39,1300.02
20013,Sneakers 20013,Fashion,Sneakers,2355.66,1097.0
20014,Moisturizer 20014,Beauty,Moisturizer,557.2,204.62
20015,Keyboard 20015,Electronics,Keyboard,2014.41,787.18
20016,Sneakers 20016,Fashion,Sneakers,3654.84,1512.21
20017,Dress 20017,Fashion,Dress,1109.27,542.21
20018,Serum 20018,Beauty,Serum,1164.92,639.96
20019,Shampoo 20019,Beauty,Shampoo,1058.34,495.5
20020,Monitor 20020,Electronics,Monitor,2720.59,1531.65
20021,Yoga Mat 20021,Sports,Yoga Mat,8993.0,4728.96
20022,Badminton Racket 20022,Sports,Badminton Racket,4318.99,2170.88
20023,Lamp 20023,Home,Lamp,1420.83,679.29
20024,Backpack 20024,Fashion,Backpack,5806.29,3085.88
20025,Bedsheet 20025,Home,Bedsheet,789.05,334.17
20026,Chair 20026,Home,Chair,5768.56,2502.63
20027,Serum 20027,Beauty,Serum,265.01,170.54
20028,T-Shirt 20028,Fashion,T-Shirt,2140.06,1062.98
20029,Monitor 20029,Electronics,Monitor,4040.78,2378.0
20030,Perfume 20030,Beauty,Perfume,2172.88,1071.51
20031,Face Wash 20031,Beauty,Face Wash,4512.81,1851.07
20032,Dress 20032,Fashion,Dress,421.54,251.42
20033,Perfume 20033,Beauty,Perfume,1277.1,532.22
20034,Chair 20034,Home,Chair,6694.49,3791.5
20035,Lamp 20035,Home,Lamp,1731.82,1113.51
20036,Mouse 20036,Electronics,Mouse,8410.09,4511.4
20037,Sneakers 20037,Fashion,Sneakers,1734.87,900.11
20038,Dress 20038,Fashion,Dress,780.89,358.2
20039,Running Shoes 20039,Sports,Running Shoes,570.9,319.77
20040,Running Shoes 20040,Sports,Running Shoes,1405.02,606.34
20041,Yoga Mat 20041,Sports,Yoga Mat,1038.65,663.18
20042,Storage Box 20042,Home,Storage Box,11594.41,5651.46
20043,Sneakers 20043,Fashion,Sneakers,506.86,295.74
20044,Chair 20044,Home,Chair,546.78,344.42
20045,Shampoo 20045,Beauty,Shampoo,360.74,200.18
20046,Perfume 20046,Beauty,Perfume,1009.74,517.33
20047,Serum 20047,Beauty,Serum,2184.05,873.58
20048,Lamp 20048,Home,Lamp,7860.04,3821.49
20049,Face Wash 20049,Beauty,Face Wash,3955.65,2260.19
20050,Running Shoes 20050,Sports,Running Shoes,3146.79,1481.52
20051,Serum 20051,Beauty,Serum,695.77,441.02
20052,Chair 20052,Home,Chair,762.46,360.49
20053,Badminton Racket 20053,Sports,Badminton Racket,1726.42,1063.45
20054,Running Shoes 20054,Sports,Running Shoes,1142.93,410.77
20055,Shampoo 20055,Beauty,Shampoo,1146.02,721.9
20056,Running Shoes 20056,Sports,Running Shoes,2108.57,823.77
20057,Sneakers 20057,Fashion,Sneakers,1299.09,681.94
20058,Lamp 20058,Home,Lamp,825.82,425.37
20059,Backpack 20059,Fashion,Backpack,1423.46,776.46
20060,Backpack 20060,Fashion,Backpack,794.08,468.82
20061,Face Wash 20061,Beauty,Face Wash,1419.98,624.9
20062,Serum 20062,Beauty,Serum,305.94,136.42
20063,Monitor 20063,Electronics,Monitor,48801.99,20977.47
20064,Serum 20064,Beauty,Serum,4631.2,2304.97
20065,Keyboard 20065,Electronics,Keyboard,4850.41,1964.56
20066,Smartphone 20066,Electronics,Smartphone,37192.6,14356.0
20067,Storage Box 20067,Home,Storage Box,355.37,156.32
20068,Backpack 20068,Fashion,Backpack,608.21,337.91
20069,Running Shoes 20069,Sports,Running Shoes,12203.61,5611.88
20070,Monitor 20070,Electronics,Monitor,965.14,558.33
20071,Laptop 20071,Electronics,Laptop,36137.71,17268.1
20072,Shampoo 20072,Beauty,Shampoo,2282.11,915.86
20073,Sneakers 20073,Fashion,Sneakers,672.95,403.06
20074,Perfume 20074,Beauty,Perfume,472.42,276.25
20075,Moisturizer 20075,Beauty,Moisturizer,3455.22,1702.44
20076,Mouse 20076,Electronics,Mouse,5763.89,3459.13
20077,Cushion 20077,Home,Cushion,2967.86,1248.94
20078,Cookware 20078,Home,Cookware,1555.58,716.87
20079,Monitor 20079,Electronics,Monitor,1977.23,932.71
20080,Moisturizer 20080,Beauty,Moisturizer,3178.09,1633.33
20081,Badminton Racket 20081,Sports,Badminton Racket,1102.66,531.45
20082,Dumbbells 20082,Sports,Dumbbells,2742.49,1289.44
20083,Monitor 20083,Electronics,Monitor,1586.83,802.65
20084,Keyboard 20084,Electronics,Keyboard,1515.77,816.64
20085,Dumbbells 20085,Sports,Dumbbells,535.19,260.68
20086,Dress 20086,Fashion,Dress,1750.18,990.74
20087,Face Wash 20087,Beauty,Face Wash,843.69,494.1
20088,T-Shirt 20088,Fashion,T-Shirt,1969.68,1132.48
20089,Dress 20089,Fashion,Dress,6296.83,2350.0
20090,Serum 20090,Beauty,Serum,328.51,167.06
20091,Dress 20091,Fashion,Dress,2708.48,1134.09
