return_id,order_id,return_date,return_reason,refund_status,refund_amount
800001,500953,2025-05-11,Size Issue,Refunded,8170.54
800002,513911,2025-05-23,Size Issue,Processing,13420.88
800003,506098,2025-07-02,Size Issue,Refunded,5170.55
800004,507614,2025-12-22,Changed Mind,Refunded,20115.76
800005,504200,2024-02-23,Quality Issue,Refunded,5685.93
800006,512997,2025-06-04,Quality Issue,Refunded,1047.53
800007,503587,2026-01-22,Quality Issue,Refunded,229.18
800008,510947,2024-06-27,Changed Mind,Refunded,13134.28
800009,502499,2025-02-11,Size Issue,Refunded,1792.65
800010,502299,2024-08-28,Size Issue,Refunded,56773.75
800011,507734,2024-12-07,Quality Issue,Refunded,11594.41
800012,511565,2025-05-09,Quality Issue,Refunded,2007.69
800013,500006,2025-02-27,Damaged,Refunded,3373.71
800014,503262,2024-04-01,Size Issue,Refunded,16319.46
800015,501089,2024-09-24,Quality Issue,Refunded,9292.53
800016,512380,2024-03-11,Quality Issue,Refunded,405.34
800017,517872,2025-10-06,Quality Issue,Processing,28414.74
800018,511572,2024-06-07,Size Issue,Refunded,12412.19
800019,510845,2024-04-22,Quality Issue,Refunded,2566.9
800020,506577,2024-08-11,Wrong Item,Refunded,1606.05
800021,514054,2025-09-25,Quality Issue,Refunded,13555.64
800022,515745,2024-06-05,Quality Issue,Refunded,68772.14
800023,512790,2024-09-20,Damaged,Refunded,65946.55
800024,501169,2024-03-27,Changed Mind,Refunded,6233.78
800025,517150,2025-04-12,Damaged,Refunded,69839.18
800026,501279,2024-11-27,Wrong Item,Refunded,69665.37
800027,506416,2025-12-26,Quality Issue,Refunded,71697.35
800028,500538,2025-05-08,Size Issue,Refunded,70731.48
800029,509715,2024-11-11,Changed Mind,Refunded,405.34
800030,500581,2025-11-17,Changed Mind,Refunded,32329.03
800031,503426,2026-01-07,Damaged,Refunded,98572.33
800032,509136,2025-01-10,Damaged,Refunded,2532.89
800033,504713,2025-10-31,Wrong Item,Refunded,27809.91
800034,517426,2024-10-12,Size Issue,Refunded,8311.7
800035,500761,2025-10-14,Size Issue,Refunded,719.25
800036,517714,2025-04-01,Quality Issue,Refunded,12986.88
800037,505528,2024-07-15,Changed Mind,Refunded,6574.43
800038,510476,2025-06-23,Wrong Item,Refunded,4629.26
800039,508117,2025-11-21,Size Issue,Refunded,18753.25
800040,501361,2024-06-28,Size Issue,Refunded,10774.09
800041,517269,2025-08-28,Size Issue,Processing,3068.6
800042,510927,2024-06-28,Size Issue,Refunded,1184.25
800043,500088,2024-09-19,Changed Mind,Refunded,4512.81
800044,500779,2025-07-25,Changed Mind,Refunded,27518.39
800045,507193,2025-07-18,Quality Issue,Refunded,377.95
800046,505820,2024-07-18,Size Issue,Refunded,7333.43
800047,505705,2024-11-13,Wrong Item,Refunded,116269.9
800048,505966,2024-09-12,Wrong Item,Refunded,419.53
800049,510508,2024-10-12,Changed Mind,Refunded,4579.26
800050,515547,2024-04-30,Damaged,Refunded,26899.4
800051,504848,2024-01-28,Size Issue,Refunded,550.69
800052,515355,2025-10-27,Quality Issue,Processing,1993.54
800053,500110,2025-07-06,Wrong Item,Refunded,9949.34
800054,514269,2024-06-02,Size Issue,Refunded,355.37
800055,512225,2024-11-13,Damaged,Refunded,6922.58
800056,506842,2024-09-24,Quality Issue,Refunded,14031.75
800057,515395,2025-11-02,Size Issue,Refunded,39490.47
800058,502541,2025-09-08,Size Issue,Refunded,15568.91
800059,507228,2024-06-14,Size Issue,Processing,30272.29
800060,500233,2025-04-29,Size Issue,Refunded,7529.81
800061,500201,2024-02-20,Size Issue,Refunded,31613.71
800062,508644,2024-10-06,Size Issue,Refunded,12616.36
800063,506758,2025-02-09,Size Issue,Processing,3905.16
800064,503928,2025-11-24,Quality Issue,Processing,6805.42
800065,514074,2025-06-05,Damaged,Refunded,22664.83
800066,507264,2024-09-28,Size Issue,Refunded,5132.72
800067,503073,2025-10-06,Wrong Item,Refunded,497.02
800068,516077,2024-05-16,Wrong Item,Refunded,1026.87
800069,509754,2024-09-20,Size Issue,Refunded,14081.43
800070,505387,2025-05-25,Size Issue,Refunded,19410.06
800071,517503,2024-11-07,Changed Mind,Refunded,34710.74
800072,513570,2024-03-21,Changed Mind,Refunded,190389.48
800073,509679,2024-04-16,Damaged,Refunded,4665.24
800074,513761,2025-10-07,Quality Issue,Refunded,591.32
800075,505856,2025-09-15,Changed Mind,Refunded,16954.39
800076,509343,2024-07-04,Damaged,Refunded,3861.67
800077,508010,2025-05-15,Changed Mind,Refunded,492.1
800078,501578,2025-03-30,Quality Issue,Refunded,1333.54
800079,515159,2024-10-08,Changed Mind,Refunded,2064.24
800080,504342,2025-04-05,Changed Mind,Refunded,125961.46
800081,514100,2025-01-21,Damaged,Refunded,2053.18
800082,505890,2024-06-22,Size Issue,Refunded,84669.57
800083,508046,2024-08-15,Quality Issue,Refunded,3887.09
800084,511379,2025-04-24,Quality Issue,Processing,2936.94
800085,509272,2025-02-12,Wrong Item,Refunded,7390.89
800086,511184,2025-01-04,Wrong Item,Refunded,2271.97
800087,512692,2025-05-31,Size Issue,Refunded,7682.16
800088,517667,2025-07-08,Quality Issue,Refunded,5942.12
800089,516002,2024-10-10,Size Issue,Refunded,1364.19
800090,501863,2025-09-05,Damaged,Refunded,4823.66
800091,513376,2025-08-05,Quality Issue,Refunded,18851.91
800092,502946,2024-09-02,Size Issue,Processing,2667.18
800093,513476,2025-08-29,Size Issue,Refunded,10893.99
800094,514809,2026-01-19,Quality Issue,Processing,14771.93
800095,502038,2025-03-18,Quality Issue,Refunded,2056.79
800096,511085,2025-02-04,Changed Mind,Refunded,5077.02
800097,503765,2025-04-19,Changed Mind,Refunded,4147.19
800098,505467,2024-11-17,Wrong Item,Refunded,1094.78
800099,516248,2025-11-15,Size Issue,Refunded,949.05
800100,510813,2024-01-22,Quality Issue,Refunded,8219.25
800101,505100,2024-08-26,Size Issue,Processing,3398.12
800102,506327,2024-05-18,Size Issue,Processing,9489.2
800103,504724,2025-10-19,Quality Issue,Refunded,25715.03
800104,514519,2024-11-30,Size Issue,Refunded,1294.82
800105,516412,2024-06-05,Quality Issue,Refunded,396.4
800106,506702,2024-10-15,Size Issue,Refunded,10239.62
800107,513146,2025-07-12,Quality Issue,Refunded,34009.4
800108,513978,2025-02-18,Size Issue,Refunded,1561.36
800109,501317,2024-10-01,Wrong Item,Refunded,8616.12
800110,506242,2025-02-27,Quality Issue,Refunded,11652.93
800111,507142,2024-01-30,Quality Issue,Refunded,11081.74
800112,516020,2025-01-19,Size Issue,Refunded,29141.92
800113,512783,2024-10-27,Wrong Item,Refunded,3140.12
800114,501816,2025-08-15,Size Issue,Refunded,1011.7
800115,502907,2025-02-08,Changed Mind,Refunded,114063.68
800116,503171,2024-12-05,Quality Issue,Processing,5518.58
800117,507522,2024-12-17,Size Issue,Refunded,69244.69
800118,511050,2024-02-28,Quality Issue,Refunded,480.61
800119,512865,2025-05-31,Changed Mind,Refunded,12396.53
800120,516980,2024-02-26,Size Issue,Refunded,19627.83
800121,515914,2024-12-01,Size Issue,Refunded,10167.59
800122,514421,2025-09-14,Size Issue,Refunded,6327.29
800123,514107,2025-10-02,Damaged,Refunded,9303.41
800124,500361,2025-11-09,Wrong Item,Refunded,4746.75
800125,508097,2025-12-17,Changed Mind,Refunded,29641.8
800126,511515,2024-12-23,Quality Issue,Refunded,35310.19
800127,507740,2025-02-19,Quality Issue,Refunded,17016.97
800128,500708,2025-05-11,Quality Issue,Refunded,13761.81
800129,516804,2024-08-26,Size Issue,Processing,1393.74
800130,516405,2024-07-15,Size Issue,Processing,2707.97
800131,505782,2024-12-05,Size Issue,Refunded,1575.85
800132,514700,2025-09-12,Size Issue,Refunded,662.92
